"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Jefferson",MIN,"WR1","13","4.0","+1","+1.4","56% (9/16)"
"2",1,"Christian McCaffrey",SF,"RB1","9","6.8","-1","+1.1","50% (8/16)"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","5.6","+1","-1.2","33% (4/12)"
"4",1,"Travis Kelce",KC,"TE1","10","7.8","+1","-0.2","47% (8/17)"
"5",1,"Nick Chubb",CLE,"RB2","5","3.2","+4","+0.4","50% (8/16)"
"6",2,"Tyreek Hill",MIA,"WR3","10","4.2","0","+1.0","50% (8/16)"
"7",2,"Bijan Robinson",ATL,"RB3","11","5.2","0","-","-"
"8",2,"Austin Ekeler",LAC,"RB4","5","4.4","-5","+0.4","47% (8/17)"
"9",2,"Derrick Henry",TEN,"RB5","7","7.4","+6","+1.3","53% (8/15)"
"10",2,"Stefon Diggs",BUF,"WR4","13","1.0","0","-0.9","43% (7/16)"
"11",2,"A.J. Brown",PHI,"WR5","10","5.0","+2","+0.6","50% (8/16)"
"12",2,"Tony Pollard",DAL,"RB6","7","4.4","+4","+3.2","60% (9/15)"
"13",2,"CeeDee Lamb",DAL,"WR6","7","2.8","-2","+0.7","50% (8/16)"
"14",3,"Saquon Barkley",NYG,"RB7","13","3.0","-6","-1.1","37% (6/16)"
"15",3,"Josh Jacobs",LV,"RB8","13","4.4","-1","+2.8","56% (9/16)"
"16",3,"Davante Adams",LV,"WR7","13","1.8","+2","+0.5","43% (7/16)"
"17",3,"Amon-Ra St. Brown",DET,"WR8","9","4.4","+3","-0.4","33% (5/15)"
"18",3,"Garrett Wilson",NYJ,"WR9","7","3.6","+3","-0.4","31% (5/16)"
"19",3,"Cooper Kupp",LAR,"WR10","10","4.4","-2","0.0","66% (6/9)"
"20",3,"Jaylen Waddle",MIA,"WR11","10","4.4","+4","+0.3","50% (8/16)"
"21",4,"Chris Olave",NO,"WR12","11","9.0","+4","-0.5","35% (5/14)"
"22",4,"Patrick Mahomes II",KC,"QB1","10","5.0","-10","+1.4","64% (11/17)"
"23",4,"Jalen Hurts",PHI,"QB2","10","4.0","-1","+3.2","71% (10/14)"
"24",4,"Josh Allen",BUF,"QB3","13","4.2","-5","-0.4","43% (7/16)"
"25",4,"Joe Mixon",CIN,"RB9","7","5.0","+5","-1.4","35% (5/14)"
"26",4,"Rhamondre Stevenson",NE,"RB10","11","2.8","+1","-0.9","50% (8/16)"
"27",4,"Tee Higgins",CIN,"WR13","7","6.0","+6","-1.3","37% (6/16)"
"28",4,"Najee Harris",PIT,"RB11","6","5.6","-5","0.0","43% (7/16)"
"29",4,"Travis Etienne Jr.",JAC,"RB12","9","2.8","-3","-0.8","56% (9/16)"
"30",4,"DeVonta Smith",PHI,"WR14","10","5.2","-2","+1.7","62% (10/16)"
"31",4,"Amari Cooper",CLE,"WR15","5","5.6","+11","+0.5","43% (7/16)"
"32",4,"Deebo Samuel",SF,"WR16","9","6.8","+5","-2.8","25% (3/12)"
"33",4,"Mark Andrews",BAL,"TE2","13","6.0","-4","-2.7","33% (5/15)"
"34",4,"Jahmyr Gibbs",DET,"RB13","9","8.8","-3","-","-"
"35",4,"DK Metcalf",SEA,"WR17","5","6.8","+1","-1.9","43% (7/16)"
"36",4,"Calvin Ridley",JAC,"WR18","9","8.6","-1","-","-"
"37",5,"Lamar Jackson",BAL,"QB4","13","5.0","-5","-2.5","25% (3/12)"
"38",5,"Aaron Jones",GB,"RB14","6","7.2","+2","-0.8","43% (7/16)"
"39",5,"Kenneth Walker III",SEA,"RB15","5","3.6","-1","+1.1","42% (6/14)"
