"Rank","Overall (Team)","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.2","0.5","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","2","1.8","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","6","3.1","0.6","3.0","0.0"
"4","Julio Jones","ATL","WR2","5","3","14","5.3","1.7","4.0","0.0"
"5","Odell Beckham Jr.","NYG","WR3","8","4","16","6.0","2.4","5.0","0.0"
"6","LeSean McCoy","BUF","RB3","6","3","17","7.3","3.5","6.0","0.0"
"7","Mike Evans","TB","WR4","11","4","14","8.4","2.7","7.0","0.0"
"8","A.J. Green","CIN","WR5","6","3","14","8.6","2.6","8.0","0.0"
"9","Devonta Freeman","ATL","RB4","5","4","24","9.5","3.0","10.0","+1.0"
"10","Melvin Gordon","LAC","RB5","9","4","18","9.6","3.0","9.0","-1.0"
"11","Jordy Nelson","GB","WR6","8","5","16","10.4","2.9","11.0","0.0"
"12","Jay Ajayi","MIA","RB6","11","4","27","13.3","3.8","15.0","+3.0"
"13","DeMarco Murray","TEN","RB7","8","8","48","15.6","6.4","13.0","0.0"
"14","Michael Thomas","NO","WR7","5","5","20","12.3","2.9","12.0","-2.0"
"15","Jordan Howard","CHI","RB8","9","8","44","17.5","7.3","14.0","-1.0"
"16","Dez Bryant","DAL","WR8","6","10","41","18.9","5.6","18.0","+2.0"
"17","Doug Baldwin","SEA","WR9","6","10","42","19.0","5.5","22.0","+5.0"
"18","Amari Cooper","OAK","WR10","10","10","40","20.2","4.8","19.0","+1.0"
"19","Brandin Cooks","NE","WR11","9","12","67","20.7","9.3","21.0","+2.0"
"20","Todd Gurley","LAR","RB9","8","9","44","21.5","7.0","17.0","-3.0"
"21","Rob Gronkowski","NE","TE1","9","15","57","22.5","6.7","20.0","-1.0"
"22","T.Y. Hilton","IND","WR12","11","14","48","24.6","7.5","25.0","+3.0"
"23","Demaryius Thomas","DEN","WR13","5","18","47","25.1","5.9","28.0","+5.0"
"24","Ezekiel Elliott","DAL","RB10","6","5","76","26.2","13.7","16.0","-8.0"
"25","DeAndre Hopkins","HOU","WR14","7","18","47","26.9","6.9","27.0","+2.0"
"26","Isaiah Crowell","CLE","RB11","9","12","56","31.9","9.2","32.0","+6.0"
"27","Keenan Allen","LAC","WR15","9","19","63","32.3","9.2","31.0","+4.0"
"28","Kareem Hunt","KC","RB12","10","10","65","32.6","12.2","39.0","+11.0"
"29","Leonard Fournette","JAC","RB13","8","15","69","32.8","10.9","24.0","-5.0"
"30","Alshon Jeffery","PHI","WR16","10","22","55","34.2","7.1","37.0","+7.0"
"31","Travis Kelce","KC","TE2","10","17","56","35.0","7.0","36.0","+5.0"
